browse,org.eclipse.ui.browser.openBrowser
catch,org.eclipse.jdt.ui.edit.text.java.surround.with.try.multicatch
comment,org.eclipse.jdt.ui.edit.text.java.toggle.comment
constructor,org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields
debug,org.eclipse.jdt.debug.ui.localJavaShortcut.debug
equal,org.eclipse.jdt.ui.edit.text.java.generate.hashcode.equals
execute,org.eclipse.jdt.debug.ui.commands.Execute
format,org.eclipse.jdt.ui.edit.text.java.format
getter,org.eclipse.jdt.ui.edit.text.java.create.getter.setter
goto,org.eclipse.ui.edit.text.goto.line
import,org.eclipse.jdt.ui.edit.text.java.organize.imports
line,org.eclipse.ui.editors.lineNumberToggle
lower,org.eclipse.ui.edit.text.lowerCase
new,org.eclipse.ui.newWizard
open,org.eclipse.ui.navigate.openResource
over,org.eclipse.debug.ui.commands.StepOver
over,org.eclipse.jdt.ui.edit.text.java.override.methods
properties,org.eclipse.ui.project.properties
refer,org.eclipse.jdt.ui.edit.text.java.search.references.in.workspace
replace,org.eclipse.ui.edit.findReplace
reset,org.eclipse.ui.window.resetPerspective
resume,org.eclipse.debug.ui.commands.Resume
return,org.eclipse.debug.ui.commands.StepReturn
run,org.eclipse.jdt.debug.ui.localJavaShortcut.run
search,org.eclipse.search.ui.performTextSearchWorkspace
string,org.eclipse.jdt.ui.edit.text.java.generate.tostring
suspend,org.eclipse.debug.ui.commands.Suspend
upper,org.eclipse.ui.edit.text.upperCase
view,org.eclipse.ui.views.showView
z,org.eclipse.debug.ui.commands.StepInto
find,edu.ncstate.csc510.okeclipse.analyzeconsole
inject,edu.ncstate.csc510.okeclipse.injectcode
main,edu.ncstate.csc510.okeclipse.injectmain
